"","edu2.fm","lab.fm","life.exp","edu.exp","edu.mean","GNI","GII","mat.mor","ado.birth"
"Norway",1.00723888314374,0.890829694323144,81.6,17.5,12.6,64992,0.067,4,7.8
"Australia",0.996828752642706,0.818941504178273,82.4,20.2,13,42261,0.11,6,12.1
"Switzerland",0.98343685300207,0.825100133511348,83,15.8,12.8,56431,0.028,6,1.9
"Denmark",0.988612836438924,0.884036144578313,80.2,18.7,12.7,44025,0.048,5,5.1
"Netherlands",0.969060773480663,0.828611898016997,81.6,17.9,11.9,45435,0.062,6,6.2
"Germany",0.992783505154639,0.807228915662651,80.9,16.5,13.1,43919,0.041,7,3.8
"Ireland",1.02417302798982,0.779735682819383,80.9,18.6,12.2,39568,0.113,9,8.2
"United States",1.00316455696203,0.817126269956459,79.1,16.5,12.9,52947,0.28,28,31
"Canada",1,0.867605633802817,82,15.9,13,42155,0.129,11,14.5
"New Zealand",0.99685204616999,0.840108401084011,81.8,19.2,12.5,32689,0.157,8,25.3
"Singapore",0.914814814814815,0.761658031088083,83,15.4,10.6,76628,0.088,6,6
"Sweden",0.990836197021764,0.888070692194403,82.2,15.8,12.1,45636,0.055,4,6.5
"United Kingdom",0.998998998998999,0.810771470160116,80.7,16.2,13.1,39267,0.177,8,25.8
"Iceland",0.993449781659389,0.910852713178295,82.6,19,10.6,35182,0.087,4,11.5
"Korea (Republic of)",0.864197530864198,0.694868238557559,81.9,16.9,11.9,33890,0.125,27,2.2
"Israel",0.966781214203895,0.837916063675832,82.4,16,12.5,30676,0.101,2,7.8
"Luxembourg",1,0.784829721362229,81.7,13.9,11.7,58711,0.1,11,8.3
"Japan",1.01398601398601,0.693181818181818,83.5,15.3,11.5,36927,0.133,6,5.4
"Belgium",0.934861278648975,0.801011804384486,80.8,16.3,11.3,41187,0.063,6,6.7
"France",0.9375,0.823051948051948,82.2,16,11.1,38056,0.088,12,5.7
"Austria",1,0.806499261447563,81.4,15.7,10.8,43869,0.053,4,4.1
"Finland",1,0.8703125,80.8,17.1,10.3,38695,0.075,4,9.2
"Slovenia",0.977551020408163,0.82753164556962,80.4,16.8,11.9,27852,0.016,7,0.6
"Spain",0.913816689466484,0.797872340425532,82.6,17.3,9.6,32045,0.095,4,10.6
"Italy",0.884472049689441,0.665546218487395,83.1,16,10.1,33030,0.068,4,4
"Czech Republic",1.00200601805416,0.748169838945827,78.6,16.4,12.3,26660,0.091,5,4.9
"Greece",0.888059701492537,0.7072,80.9,17.6,10.3,24524,0.146,5,11.9
"Estonia",1,0.815674891146589,76.8,16.5,12.5,25214,0.164,11,16.8
"Cyprus",0.930232558139535,0.787623066104079,80.2,14,11.6,28633,0.124,10,5.5
